City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches last 3 hours,Snow inches last 3 hours
108,Kaitangata,NZ,2020-04-20 01:38:46,-46.28,169.85,60.01,42,79,11.99,broken clouds,0.0,0.0
109,Avarua,CK,2020-04-20 01:42:05,-21.21,-159.78,82.4,69,3,9.17,clear sky,0.0,0.0
110,Arman,RU,2020-04-20 01:38:15,59.7,150.17,16.16,85,0,7.25,clear sky,0.0,0.0
111,Yellowknife,CA,2020-04-20 01:42:06,62.46,-114.35,24.8,58,40,21.92,scattered clouds,0.0,0.0
112,Zyryanka,RU,2020-04-20 01:42:06,65.75,150.85,15.55,83,30,5.75,scattered clouds,0.0,0.0
113,Santo Angelo,BR,2020-04-20 01:40:55,-28.3,-54.26,69.8,52,0,6.93,clear sky,0.0,0.0
114,Cherskiy,RU,2020-04-20 01:42:06,68.75,161.3,12.81,94,100,8.32,light snow,0.0,0.13
115,Batemans Bay,AU,2020-04-20 01:42:07,-35.72,150.18,64.99,54,100,1.01,overcast clouds,0.0,0.0
116,Vidim,RU,2020-04-20 01:42:07,56.41,103.11,32.25,64,0,6.17,clear sky,0.0,0.0
117,Bone,DE,2020-04-20 01:42:07,51.97,12.14,41.0,63,0,1.01,clear sky,0.0,0.0
118,Alta Floresta,BR,2020-04-20 01:42:07,-9.88,-56.09,71.78,87,100,1.43,light rain,1.39,0.0
119,Najran,SA,2020-04-20 01:42:08,17.49,44.13,69.8,68,75,2.24,broken clouds,0.0,0.0
120,Pevek,RU,2020-04-20 01:42:08,69.7,170.31,12.63,94,100,7.56,light snow,0.0,0.2
121,Guerrero Negro,MX,2020-04-20 01:42:08,27.98,-114.06,60.48,78,99,19.82,overcast clouds,0.0,0.0
122,Axim,GH,2020-04-20 01:37:42,4.87,-2.24,81.27,82,100,6.38,light rain,0.81,0.0
123,Bandarbeyla,SO,2020-04-20 01:42:09,9.49,50.81,81.79,71,83,3.4,broken clouds,0.0,0.0
124,Pangoa,PE,2020-04-20 01:42:09,-12.12,-73.0,66.34,69,38,1.99,scattered clouds,0.0,0.0
125,Kalinovskaya,RU,2020-04-20 01:42:10,43.58,45.52,42.8,93,16,2.24,few clouds,0.0,0.0
126,Kidal,ML,2020-04-20 01:42:10,18.44,1.41,81.41,24,31,13.38,scattered clouds,0.0,0.0
127,Souillac,MU,2020-04-20 01:42:10,-20.52,57.52,77.0,83,75,12.75,broken clouds,0.0,0.0
128,Manokwari,ID,2020-04-20 01:42:10,-0.87,134.08,86.11,64,4,4.21,clear sky,0.0,0.0
129,Inuvik,CA,2020-04-20 01:42:11,68.35,-133.72,23.0,53,90,3.36,overcast clouds,0.0,0.0
130,Malmesbury,ZA,2020-04-20 01:42:11,-33.46,18.73,62.01,84,95,11.41,overcast clouds,0.0,0.0
131,Sorong,ID,2020-04-20 01:42:11,-0.88,131.25,88.63,68,10,0.51,light rain,0.94,0.0
132,Touros,BR,2020-04-20 01:42:11,-5.2,-35.46,77.0,94,40,4.7,scattered clouds,0.0,0.0
133,Ambalavao,MG,2020-04-20 01:42:12,-21.83,46.93,59.43,66,66,7.47,broken clouds,0.0,0.0
134,Kaeo,NZ,2020-04-20 01:42:12,-35.1,173.78,62.01,95,100,1.99,moderate rain,6.23,0.0
135,Vallenar,CL,2020-04-20 01:42:12,-28.57,-70.76,61.63,59,0,1.54,clear sky,0.0,0.0
136,Puerto Ayora,EC,2020-04-20 01:42:12,-0.74,-90.35,80.01,86,50,8.01,scattered clouds,0.0,0.0
137,Vila Velha,BR,2020-04-20 01:42:13,-20.33,-40.29,73.4,78,20,3.36,few clouds,0.0,0.0
138,Nemuro,JP,2020-04-20 01:42:13,43.32,145.57,41.0,75,75,11.41,mist,0.0,0.0
139,Woodstock,CA,2020-04-20 01:41:57,43.13,-80.75,35.01,49,0,1.01,clear sky,0.0,0.0
140,Pizarro,CO,2020-04-20 01:42:14,4.95,-77.37,79.38,82,97,4.18,overcast clouds,0.0,0.0
141,Mandan,US,2020-04-20 01:42:14,46.83,-100.89,53.6,31,1,12.75,clear sky,0.0,0.0
142,Faanui,PF,2020-04-20 01:42:14,-16.48,-151.75,82.24,77,81,19.19,light rain,1.2,0.0
143,San Quintin,MX,2020-04-20 01:42:14,30.48,-115.95,59.58,74,79,18.79,broken clouds,0.0,0.0
144,Lebu,CL,2020-04-20 01:42:15,-37.62,-73.65,55.58,72,100,9.01,overcast clouds,0.0,0.0
145,Praia Da Vitoria,PT,2020-04-20 01:42:15,38.73,-27.07,57.2,62,20,14.0,few clouds,0.0,0.0
146,Tyup,KG,2020-04-20 01:42:15,42.73,78.36,52.61,22,9,0.78,clear sky,0.0,0.0
147,Kahului,US,2020-04-20 01:37:18,20.89,-156.47,82.4,51,40,12.75,scattered clouds,0.0,0.0
148,Swan Hill,AU,2020-04-20 01:42:16,-35.34,143.55,73.4,43,100,15.61,overcast clouds,0.0,0.0
149,Roald,NO,2020-04-20 01:42:16,62.58,6.13,39.2,93,0,8.05,clear sky,0.0,0.0
150,Qasigiannguit,GL,2020-04-20 01:42:16,68.82,-51.19,30.2,46,94,19.46,overcast clouds,0.0,0.0
