City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Roma,US,2020-04-18 22:50:56,43.21,-75.46,46.4,33,1,12.75
165,Korla,CN,2020-04-18 22:54:53,41.76,86.15,55.0,46,99,5.01
166,Sambava,MG,2020-04-18 22:52:50,-14.27,50.17,73.4,85,48,9.37
167,Port Lincoln,AU,2020-04-18 22:54:54,-34.73,135.87,62.51,63,63,16.31
168,Ouango,CF,2020-04-18 22:54:54,4.31,22.56,71.22,84,84,3.67
169,Mar Del Plata,AR,2020-04-18 22:54:54,-38.0,-57.56,69.01,64,24,9.17
170,Iskateley,RU,2020-04-18 22:51:14,67.68,53.15,28.09,98,100,4.34
171,Zhigansk,RU,2020-04-18 22:54:54,66.77,123.37,6.84,93,78,12.3
172,Hofn,IS,2020-04-18 22:51:04,64.25,-15.21,45.46,88,99,14.67
173,Nioro,GM,2020-04-18 22:54:55,13.35,-15.75,75.2,38,57,9.95
174,Tilichiki,RU,2020-04-18 22:54:55,60.47,166.1,10.78,91,0,10.83
175,Dingle,PH,2020-04-18 22:54:56,11.0,122.67,83.3,71,13,11.9
176,Torbay,CA,2020-04-18 22:51:03,47.67,-52.73,35.01,50,20,11.41
177,Lasa,IT,2020-04-18 22:54:56,46.62,10.7,51.8,66,20,5.82
178,Kudahuvadhoo,MV,2020-04-18 22:50:21,2.67,72.89,83.86,79,79,12.75
179,Zabol,AF,2020-04-18 22:54:56,32.25,67.25,49.24,29,37,4.14
180,Pizarro,CO,2020-04-18 22:54:57,4.95,-77.37,77.61,82,98,4.38
181,Singkawang,ID,2020-04-18 22:54:57,0.9,109.0,76.42,84,100,4.88
182,Beringovskiy,RU,2020-04-18 22:51:32,63.05,179.32,21.25,97,100,16.64
183,Baculin,PH,2020-04-18 22:54:57,7.45,126.58,82.0,74,100,6.87
184,Koslan,RU,2020-04-18 22:54:57,63.46,48.9,34.29,93,100,3.71
185,Bafoussam,CM,2020-04-18 22:54:58,5.47,10.42,63.05,65,96,2.21
186,Kapaa,US,2020-04-18 22:54:58,22.08,-159.32,80.6,65,1,5.82
187,Tautira,PF,2020-04-18 22:54:58,-17.73,-149.15,86.0,70,54,8.05
188,Catuday,PH,2020-04-18 22:54:58,16.29,119.81,81.64,72,88,10.71
189,Winburg,ZA,2020-04-18 22:54:59,-28.52,27.01,59.97,32,45,11.83
190,Ilulissat,GL,2020-04-18 22:54:59,69.22,-51.1,24.8,79,100,5.82
191,San Ramon,US,2020-04-18 22:54:59,37.78,-121.98,68.0,48,1,10.29
192,Joshimath,IN,2020-04-18 22:54:59,30.57,79.57,46.8,23,97,4.32
193,Pevek,RU,2020-04-18 22:51:08,69.7,170.31,3.22,91,30,7.29
194,Lompoc,US,2020-04-18 22:51:00,34.64,-120.46,60.8,59,90,14.99
195,Fallon,US,2020-04-18 22:55:00,39.47,-118.78,68.0,18,40,13.87
196,Tezu,IN,2020-04-18 22:50:08,27.92,96.17,68.9,69,78,1.88
197,Marsa Matruh,EG,2020-04-18 22:55:00,31.35,27.25,60.8,77,20,5.82
198,Husavik,IS,2020-04-18 22:51:03,66.04,-17.34,44.6,75,75,33.33
199,Isangel,VU,2020-04-18 22:50:06,-19.55,169.27,80.6,88,75,6.93
200,Port Hardy,CA,2020-04-18 22:55:01,50.7,-127.42,51.8,81,20,5.82
201,Ponta Do Sol,PT,2020-04-18 22:55:01,32.67,-17.1,59.0,58,7,5.01
202,Arraial Do Cabo,BR,2020-04-18 22:55:01,-22.97,-42.03,74.16,71,97,8.01
203,Tiznit,MA,2020-04-18 22:55:02,29.58,-9.5,56.71,69,78,10.16
204,Nome,US,2020-04-18 22:55:02,64.5,-165.41,34.0,100,90,8.05
205,Mumbwa,ZM,2020-04-18 22:55:02,-14.98,27.06,62.76,58,66,5.46
206,Barstow,US,2020-04-18 22:55:03,34.9,-117.02,71.6,35,75,16.11
207,Norman Wells,CA,2020-04-18 22:55:03,65.28,-126.83,37.4,93,90,14.99
208,Mount Gambier,AU,2020-04-18 22:55:03,-37.83,140.77,48.2,100,90,5.82
